,school_a_id,highest_score,school_b_id
0,1,0.5490196078431373,18
1,2,0.6060606060606061,19
2,3,0.5287356321839081,110
3,4,0.5833333333333334,19
4,5,0.6774193548387096,19
5,6,0.6538461538461539,19
6,7,0.5714285714285714,19
7,8,0.64,18
8,9,0.5660377358490566,18
9,10,0.5588235294117647,19
10,11,0.6,17
